2019-01-10_10 10:12:20.769 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 4ms
2019-01-10_10 10:12:33.992 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
2019-01-10_10 10:12:41.374 INFO  [Thread-89] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@788fcafb: startup date [Wed Jan 09 17:04:53 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3f56875e
2019-01-10_10 10:12:41.424 INFO  [Thread-89] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application DEPT-PROVIDER with eureka with status DOWN
2019-01-10_10 10:12:41.426 WARN  [Thread-89] com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1547086361426, current=DOWN, previous=UP]
2019-01-10_10 10:12:41.434 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001: registering service...
2019-01-10_10 10:12:41.453 INFO  [Thread-89] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-01-10_10 10:12:41.459 INFO  [Thread-89] com.netflix.discovery.DiscoveryClient - Unregistering ...
2019-01-10_10 10:12:41.514 INFO  [Thread-60] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@788fcafb: startup date [Wed Jan 09 17:05:18 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3f56875e
2019-01-10_10 10:12:41.570 INFO  [http-nio-7002-exec-7] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 with status DOWN (replication=false)
2019-01-10_10 10:12:41.576 INFO  [Thread-60] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application DEPT-PROVIDER with eureka with status DOWN
2019-01-10_10 10:12:41.582 WARN  [Thread-60] com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1547086361582, current=DOWN, previous=UP]
2019-01-10_10 10:12:41.586 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8003: registering service...
2019-01-10_10 10:12:41.589 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 - registration status: 204
2019-01-10_10 10:12:41.594 INFO  [Thread-60] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-01-10_10 10:12:41.598 INFO  [Thread-60] com.netflix.discovery.DiscoveryClient - Unregistering ...
2019-01-10_10 10:12:41.612 INFO  [http-nio-7002-exec-3] com.netflix.eureka.registry.AbstractInstanceRegistry - Cancelled instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 (replication=false)
2019-01-10_10 10:12:41.626 INFO  [http-nio-7002-exec-9] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8003 with status DOWN (replication=false)
2019-01-10_10 10:12:41.627 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8003 - registration status: 204
2019-01-10_10 10:12:41.628 INFO  [Thread-89] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 - deregister  status: 200
2019-01-10_10 10:12:41.637 INFO  [http-nio-7002-exec-8] com.netflix.eureka.registry.AbstractInstanceRegistry - Cancelled instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8003 (replication=false)
2019-01-10_10 10:12:41.638 INFO  [Thread-60] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8003 - deregister  status: 200
2019-01-10_10 10:12:41.670 INFO  [Thread-80] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1253e7cb: startup date [Wed Jan 09 17:04:28 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3571b748
2019-01-10_10 10:12:41.711 INFO  [Thread-89] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-01-10_10 10:12:41.714 INFO  [Thread-80] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application dept-provider with eureka with status DOWN
2019-01-10_10 10:12:41.730 INFO  [Thread-80] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-01-10_10 10:12:41.730 INFO  [Thread-80] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-01-10_10 10:12:41.765 INFO  [Thread-94] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1253e7cb: startup date [Wed Jan 09 17:04:35 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3571b748
2019-01-10_10 10:12:41.791 INFO  [Thread-80] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-01-10_10 10:12:41.796 INFO  [Thread-94] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application dept-provider with eureka with status DOWN
2019-01-10_10 10:12:41.818 INFO  [Thread-94] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-01-10_10 10:12:41.818 INFO  [Thread-94] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-01-10_10 10:12:41.869 INFO  [Thread-60] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-01-10_10 10:12:41.894 INFO  [Thread-94] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-01-10_10 10:12:41.933 INFO  [Thread-104] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1253e7cb: startup date [Wed Jan 09 17:04:43 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3571b748
2019-01-10_10 10:12:41.942 INFO  [Thread-94] com.netflix.eureka.DefaultEurekaServerContext - Shutting down ...
2019-01-10_10 10:12:41.946 INFO  [Thread-104] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application dept-provider with eureka with status DOWN
2019-01-10_10 10:12:41.953 INFO  [Thread-80] com.netflix.eureka.DefaultEurekaServerContext - Shutting down ...
2019-01-10_10 10:12:41.955 INFO  [Thread-104] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-01-10_10 10:12:41.955 INFO  [Thread-104] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-01-10_10 10:12:41.973 INFO  [Thread-89] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2019-01-10_10 10:12:41.981 INFO  [Thread-104] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-01-10_10 10:12:42.002 INFO  [Thread-89] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-01-10_10 10:12:42.008 INFO  [Thread-104] com.netflix.eureka.DefaultEurekaServerContext - Shutting down ...
2019-01-10_10 10:12:42.026 INFO  [Thread-104] com.netflix.eureka.DefaultEurekaServerContext - Shut down
2019-01-10_10 10:12:42.036 INFO  [Thread-89] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-01-10_10 10:12:42.039 INFO  [Thread-104] org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-01-10_10 10:12:42.040 INFO  [Thread-104] org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter - Unregistering JMX-exposed beans
2019-01-10_10 10:12:42.041 INFO  [Thread-104] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-01-10_10 10:12:42.041 INFO  [Thread-104] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2019-01-10_10 10:12:42.043 INFO  [Thread-89] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2019-01-10_10 10:12:42.074 INFO  [Thread-94] com.netflix.eureka.DefaultEurekaServerContext - Shut down
2019-01-10_10 10:12:42.091 INFO  [Thread-80] com.netflix.eureka.DefaultEurekaServerContext - Shut down
2019-01-10_10 10:12:42.092 INFO  [Thread-60] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2019-01-10_10 10:12:42.110 INFO  [Thread-104] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-01-10_10 10:12:42.109 INFO  [Thread-94] org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-01-10_10 10:12:42.112 INFO  [Thread-94] org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter - Unregistering JMX-exposed beans
2019-01-10_10 10:12:42.114 INFO  [Thread-60] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-01-10_10 10:12:42.116 INFO  [Thread-94] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-01-10_10 10:12:42.118 INFO  [Thread-94] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2019-01-10_10 10:12:42.119 INFO  [Thread-80] org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-01-10_10 10:12:42.129 INFO  [Thread-80] org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter - Unregistering JMX-exposed beans
2019-01-10_10 10:12:42.133 INFO  [Thread-80] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-01-10_10 10:12:42.140 INFO  [Thread-80] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2019-01-10_10 10:12:42.152 INFO  [Thread-60] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-01-10_10 10:12:42.160 INFO  [Thread-60] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2019-01-10_10 10:12:42.181 INFO  [Thread-89] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-01-10_10 10:12:42.180 INFO  [Thread-77] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@788fcafb: startup date [Wed Jan 09 17:05:05 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3f56875e
2019-01-10_10 10:12:42.215 INFO  [Thread-77] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application DEPT-PROVIDER with eureka with status DOWN
2019-01-10_10 10:12:42.216 WARN  [Thread-77] com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1547086362216, current=DOWN, previous=UP]
2019-01-10_10 10:12:42.220 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8002: registering service...
2019-01-10_10 10:12:42.221 INFO  [Thread-94] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-01-10_10 10:12:42.230 INFO  [Thread-77] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-01-10_10 10:12:42.233 INFO  [Thread-77] com.netflix.discovery.DiscoveryClient - Unregistering ...
2019-01-10_10 10:12:42.263 INFO  [http-nio-7002-exec-1] com.netflix.eureka.registry.AbstractInstanceRegistry - Cancelled instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8002 (replication=false)
2019-01-10_10 10:12:42.264 INFO  [Thread-77] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8002 - deregister  status: 200
2019-01-10_10 10:12:42.302 INFO  [Thread-49] com.netflix.loadbalancer.PollingServerListUpdater - Shutting down the Executor Pool for PollingServerListUpdater
2019-01-10_10 10:12:42.309 INFO  [Thread-42] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@788fcafb: startup date [Wed Jan 09 17:05:28 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3f56875e
2019-01-10_10 10:12:42.320 INFO  [http-nio-7002-exec-2] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8002 with status DOWN (replication=false)
2019-01-10_10 10:12:42.332 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8002 - registration status: 204
2019-01-10_10 10:12:42.371 INFO  [Thread-60] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-01-10_10 10:12:42.380 INFO  [Thread-42] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application dept-consumer with eureka with status DOWN
2019-01-10_10 10:12:42.387 INFO  [Thread-80] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-01-10_10 10:12:42.408 INFO  [Thread-42] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-01-10_10 10:12:42.412 INFO  [Thread-104] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-01-10_10 10:12:42.415 INFO  [Thread-89] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-01-10_10 10:12:42.455 INFO  [Thread-94] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-01-10_10 10:12:42.568 INFO  [Thread-77] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-01-10_10 10:12:42.590 INFO  [Thread-60] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-01-10_10 10:12:42.621 INFO  [Thread-80] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-01-10_10 10:12:42.667 INFO  [Thread-77] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2019-01-10_10 10:12:42.835 INFO  [Thread-77] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-01-10_10 10:12:42.898 INFO  [Thread-42] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-01-10_10 10:12:42.937 INFO  [Thread-77] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-01-10_10 10:12:42.939 INFO  [Thread-77] org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2019-01-10_10 10:12:43.019 INFO  [Thread-77] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-01-10_10 10:12:43.172 INFO  [Thread-42] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2019-01-10_10 10:12:43.207 INFO  [Thread-77] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-01-10_10 10:12:43.291 INFO  [Thread-42] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-01-10_10 10:12:43.293 INFO  [Thread-42] org.springframework.context.annotation.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@7d51aed: startup date [Wed Jan 09 17:06:15 CST 2019]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@788fcafb
2019-01-10_10 10:12:43.295 INFO  [Thread-42] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application dept-consumer with eureka with status DOWN
2019-01-10_10 10:12:43.311 INFO  [Thread-42] com.netflix.util.concurrent.ShutdownEnabledTimer - Shutdown hook removed for: NFLoadBalancer-PingTimer-DEPT-PROVIDER
2019-01-10_10 10:12:43.444 INFO  [Thread-42] com.netflix.util.concurrent.ShutdownEnabledTimer - Exception caught (might be ok if at shutdown)
java.lang.IllegalStateException: Shutdown in progress
	at java.lang.ApplicationShutdownHooks.remove(ApplicationShutdownHooks.java:82)
	at java.lang.Runtime.removeShutdownHook(Runtime.java:239)
	at com.netflix.util.concurrent.ShutdownEnabledTimer.cancel(ShutdownEnabledTimer.java:70)
	at com.netflix.loadbalancer.BaseLoadBalancer.cancelPingTask(BaseLoadBalancer.java:613)
	at com.netflix.loadbalancer.BaseLoadBalancer.shutdown(BaseLoadBalancer.java:864)
	at com.netflix.loadbalancer.DynamicServerListLoadBalancer.shutdown(DynamicServerListLoadBalancer.java:277)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
